"jenis_kelamin","umur","asal","penempatan","gaji","pendidikan","IPK","pengalaman","jenis_rekrut","id","status_rekrut"
"0","3","5","7","3","0",2.56,"2","2","1897","0"
"1","2","27","33","3","0",1.94,"5","2","1898","0"
"1","3","17","6","5","0",1.72,"2","1","1899","0"
"1","1","12","19","3","0",2.9,"0","2","1900","0"
"0","1","1","8","5","0",1.23,"1","2","1901","0"
"1","1","2","2","1","1",3.2,"0","1","1902","1"
"1","2","32","32","1","2",3.9,"0","1","1903","1"
"0","1","27","27","3","3",3.52,"4","2","1904","1"
"1","2","28","16","3","0",1.61,"2","1","1905","0"
"1","1","7","33","3","0",1.35,"3","1","1906","0"
"1","2","17","17","2","3",3.67,"3","2","1907","1"
"1","3","19","10","3","0",2.74,"1","2","1908","0"
"1","2","10","10","2","1",3.7,"2","1","1909","1"
"0","2","13","13","2","1",3.3,"2","1","1910","1"
"1","2","27","3","5","0",2.9,"5","1","1911","0"
"0","2","33","33","2","3",3.59,"2","2","1912","1"
"0","2","12","12","2","2",3.2,"2","1","1913","1"
"1","1","31","30","3","0",1.67,"3","1","1914","0"
"0","1","26","26","2","1",3.1,"2","1","1915","1"
"1","1","15","15","2","2",3.66,"4","2","1916","1"
"1","2","29","19","5","0",2.67,"3","1","1917","0"
"1","1","22","28","3","0",2.05,"4","1","1918","0"
"0","2","7","7","2","3",3.95,"4","2","1919","1"
"0","3","26","1","4","0",2.23,"1","1","1920","0"
"0","1","15","15","3","3",3.4,"3","2","1921","1"
"1","2","27","29","5","0",1.01,"3","1","1922","0"
"1","1","34","34","2","1",3.65,"2","2","1923","1"
"1","2","10","10","3","3",3.66,"2","2","1924","1"
"0","2","11","11","1","1",3.5,"0","1","1925","1"
"0","2","1","5","5","0",2.05,"0","1","1926","0"
"1","3","17","28","5","0",2.36,"1","1","1927","0"
"0","2","29","29","2","2",3.3,"2","1","1928","1"
"1","1","17","17","1","2",3.1,"0","1","1929","1"
"0","2","10","24","5","0",2.96,"5","1","1930","0"
"0","1","13","23","5","0",2.86,"3","2","1931","0"
"1","2","31","31","3","3",3.46,"2","2","1932","1"
"0","2","6","20","4","0",1.98,"3","1","1933","0"
"1","1","34","31","3","0",2.42,"1","2","1934","0"
"1","1","2","2","2","3",3.5,"2","2","1935","1"
"0","1","31","15","4","0",1.63,"3","1","1936","0"
"1","2","24","24","2","2",3.2,"1","1","1937","1"
"1","1","24","30","4","0",1.48,"1","2","1938","0"
"1","2","34","34","3","2",3.82,"4","2","1939","1"
"1","1","15","24","5","0",2.51,"0","2","1940","0"
"0","1","4","4","2","1",3.9,"1","1","1941","1"
"0","1","26","26","1","2",3.4,"2","1","1942","1"
"1","3","30","20","5","0",1.42,"2","2","1943","0"
"0","1","22","22","1","2",3.3,"2","1","1944","1"
"1","2","25","25","1","2",3.7,"2","1","1945","1"
"1","1","10","10","2","2",3.91,"2","2","1946","1"
"0","3","1","14","3","0",2.17,"4","1","1947","0"
"1","1","31","31","3","1",3.47,"3","2","1948","1"
"0","2","11","11","1","2",3.2,"0","1","1949","1"
"0","1","25","25","3","2",3.85,"4","2","1950","1"
"0","2","2","2","1","2",3.6,"1","1","1951","1"
"0","3","23","15","4","0",1.61,"4","2","1952","0"
"0","1","13","13","3","2",3.96,"2","2","1953","1"
"1","2","25","26","4","0",1.15,"5","2","1954","0"
"1","1","8","8","3","3",3.39,"2","2","1955","1"
"0","1","7","29","4","0",2.99,"5","1","1956","0"
"1","1","3","3","3","1",3.35,"2","2","1957","1"
"1","3","19","14","3","0",2.67,"4","1","1958","0"
"0","1","29","23","5","0",1.06,"1","2","1959","0"
"0","2","21","21","2","2",3.68,"4","2","1960","1"
"1","2","13","13","2","2",3.32,"2","2","1961","1"
"1","1","28","28","2","2",3.28,"2","2","1962","1"
"0","1","17","17","1","2",3.7,"1","1","1963","1"
"0","2","16","16","3","2",3.76,"2","2","1964","1"
"0","1","23","23","2","1",3.4,"0","1","1965","1"
"1","2","20","20","2","1",3.94,"4","2","1966","1"
"1","1","28","31","3","0",2.31,"4","2","1967","0"
"0","2","27","27","1","1",3.4,"0","1","1968","1"
"0","2","29","29","2","1",3.88,"4","2","1969","1"
"1","3","27","30","3","0",2.34,"1","1","1970","0"
"1","3","28","14","5","0",1.27,"3","1","1971","0"
"0","3","32","1","4","0",1.22,"5","1","1972","0"
"1","2","21","25","4","0",1.96,"5","1","1973","0"
"0","2","16","16","2","2",3.3,"0","1","1974","1"
"0","1","15","15","1","2",3.7,"1","1","1975","1"
"1","1","33","33","2","1",3.6,"1","1","1976","1"
"1","2","9","21","4","0",1.45,"1","1","1977","0"
"1","2","25","25","2","2",3.33,"4","2","1978","1"
"0","2","10","10","3","2",4.0,"4","2","1979","1"
"0","1","9","9","3","3",3.39,"2","2","1980","1"
"0","2","30","6","5","0",2.94,"5","2","1981","0"
"0","2","33","16","3","0",1.48,"3","2","1982","0"
"0","1","5","27","4","0",1.13,"4","2","1983","0"
"1","2","17","17","3","3",3.78,"2","2","1984","1"
"1","1","34","34","2","2",3.31,"2","2","1985","1"
"0","1","4","4","3","0",1.42,"2","2","1986","0"
"1","3","12","8","5","0",1.09,"1","1","1987","0"
"0","3","23","2","5","0",1.45,"4","2","1988","0"
"0","1","11","11","1","2",3.7,"2","1","1989","1"
"0","2","9","9","2","2",3.6,"0","1","1990","1"
"0","1","18","18","1","1",3.3,"0","1","1991","1"
"1","1","21","8","3","0",1.89,"5","2","1992","0"
"0","2","21","21","2","1",4.0,"1","1","1993","1"
"0","3","12","24","4","0",1.15,"2","1","1994","0"
"1","2","9","9","2","2",3.41,"4","2","1995","1"
"0","1","31","29","3","0",2.77,"3","1","1996","0"
"0","1","23","23","2","3",3.91,"4","2","1997","1"
"1","1","9","9","2","2",3.64,"4","2","1998","1"
"0","1","8","32","5","0",1.14,"2","2","1999","0"
"1","1","11","11","3","0",1.22,"3","2","2000","0"
"0","2","1","1","2","2",3.8,"1","1","2001","1"
"1","1","28","21","3","0",2.28,"3","1","2002","0"
"1","1","28","28","1","1",3.4,"0","1","2003","1"
"1","2","26","26","2","1",3.39,"4","2","2004","1"
"1","1","9","28","5","0",1.37,"0","2","2005","0"
"0","1","31","31","3","2",3.6,"2","2","2006","1"
"1","3","25","9","3","0",2.68,"0","2","2007","0"
"1","2","8","31","5","0",2.72,"1","2","2008","0"
"1","1","31","3","3","0",1.07,"5","1","2009","0"
"0","1","5","5","1","2",3.1,"1","1","2010","1"
"0","2","23","23","2","1",3.8,"0","1","2011","1"
"1","2","9","12","4","0",2.56,"0","1","2012","0"
"1","2","28","28","3","2",3.51,"3","2","2013","1"
"0","3","23","10","5","0",2.52,"0","2","2014","0"
"0","1","18","18","2","2",3.8,"0","1","2015","1"
"1","1","7","19","5","0",2.89,"3","2","2016","0"
"0","1","6","13","4","0",1.84,"0","1","2017","0"
"0","1","18","18","1","2",3.8,"2","1","2018","1"
"1","2","10","10","2","2",3.6,"0","1","2019","1"
"0","2","15","15","1","2",3.2,"1","1","2020","1"
"0","2","1","1","1","1",3.7,"2","1","2021","1"
"0","2","1","1","3","2",3.95,"3","2","2022","1"
"0","2","28","22","5","0",1.85,"2","1","2023","0"
"0","1","4","4","1","1",3.3,"0","1","2024","1"
"0","2","18","5","3","0",1.61,"0","2","2025","0"
"0","1","10","31","4","0",1.22,"4","1","2026","0"
"1","2","21","21","3","3",3.48,"4","2","2027","1"
"0","2","3","3","1","1",3.2,"0","1","2028","1"
"0","2","6","6","3","1",3.45,"3","2","2029","1"
"0","1","12","12","1","2",3.4,"2","1","2030","1"
"0","2","4","2","4","0",1.33,"4","2","2031","0"
"1","2","26","26","2","2",3.6,"2","1","2032","1"
"0","2","23","28","4","0",1.44,"2","1","2033","0"
"0","3","28","32","3","0",2.9,"3","2","2034","0"
"0","1","7","7","2","1",4.0,"2","1","2035","1"
"0","1","25","10","3","0",1.77,"4","1","2036","0"
"1","1","30","6","5","0",2.79,"5","2","2037","0"
"1","2","22","22","1","2",3.7,"0","1","2038","1"
"1","2","7","7","2","2",3.3,"0","1","2039","1"
"0","3","33","20","4","0",2.14,"1","2","2040","0"
"1","1","26","26","1","2",3.9,"1","1","2041","1"
"1","2","18","9","3","0",1.44,"0","2","2042","0"
"1","2","13","13","2","3",3.66,"4","2","2043","1"
"1","2","10","10","2","2",3.46,"4","2","2044","1"
"0","2","27","27","2","1",4.0,"2","1","2045","1"
"0","2","31","31","3","1",3.58,"3","2","2046","1"
"1","2","20","20","4","0",2.44,"4","1","2047","0"
"0","3","21","15","5","0",2.82,"5","2","2048","0"
"1","1","14","14","2","2",3.6,"1","1","2049","1"
"0","2","7","33","5","0",1.41,"5","2","2050","0"
"1","1","1","1","2","2",3.81,"4","2","2051","1"
"0","3","32","5","3","0",1.03,"5","1","2052","0"
"1","2","21","21","1","1",3.6,"2","1","2053","1"
"1","2","5","5","2","2",3.3,"1","1","2054","1"
"1","1","32","32","2","2",3.53,"4","2","2055","1"
"1","3","16","28","4","0",1.57,"4","1","2056","0"
"1","2","8","10","4","0",1.2,"4","1","2057","0"
"1","1","10","10","2","2",3.94,"4","2","2058","1"
"1","1","4","23","4","0",2.25,"1","1","2059","0"
"1","2","22","22","2","1",3.56,"3","2","2060","1"
"0","3","5","5","3","0",2.39,"2","2","2061","0"
"0","2","26","26","1","1",3.4,"0","1","2062","1"
"0","2","5","5","2","2",4.0,"2","1","2063","1"
"1","1","16","16","2","1",3.79,"4","2","2064","1"
"0","2","30","30","2","2",3.5,"2","1","2065","1"
"1","2","16","32","4","0",1.74,"5","1","2066","0"
"0","2","34","1","4","0",1.52,"2","1","2067","0"
"1","3","13","33","3","0",1.08,"1","2","2068","0"
"0","3","34","21","5","0",1.45,"4","1","2069","0"
"0","2","24","24","2","1",4.0,"1","1","2070","1"
"0","1","17","17","1","2",3.6,"1","1","2071","1"
"1","2","11","11","2","2",3.7,"2","1","2072","1"
"0","2","23","23","3","3",3.48,"2","2","2073","1"
"0","2","25","25","2","1",3.9,"0","1","2074","1"
"1","2","32","32","2","3",3.56,"2","2","2075","1"
"0","1","29","32","4","0",2.66,"5","1","2076","0"
"1","1","24","24","1","1",3.8,"1","1","2077","1"
"1","1","13","17","5","0",1.01,"3","2","2078","0"
"1","1","27","27","2","1",3.7,"0","1","2079","1"
"0","2","9","29","5","0",2.84,"4","1","2080","0"
"0","1","31","26","4","0",2.97,"3","2","2081","0"
"1","2","2","2","2","2",3.5,"0","1","2082","1"
"0","3","21","2","4","0",1.4,"2","2","2083","0"
"1","2","24","24","2","3",3.86,"4","2","2084","1"
"1","2","9","9","2","2",3.6,"1","1","2085","1"
"1","3","34","34","4","0",2.93,"2","2","2086","0"
"1","3","29","24","3","0",2.66,"5","2","2087","0"
"0","2","4","4","2","2",3.3,"1","1","2088","1"
"0","2","7","7","1","1",3.9,"0","1","2089","1"
"0","2","16","16","2","1",3.7,"2","1","2090","1"
"1","2","9","9","3","1",3.6,"2","2","2091","1"
"1","2","22","34","4","0",1.58,"1","1","2092","0"
"0","3","10","19","5","0",1.63,"2","2","2093","0"
"0","2","23","23","3","1",3.46,"2","2","2094","1"
"1","1","6","6","2","2",3.4,"1","1","2095","1"
"1","2","23","5","3","0",1.27,"4","1","2096","0"
"1","2","18","12","5","0",2.16,"2","2","2097","0"
"1","1","3","3","3","2",3.64,"2","2","2098","1"
"1","3","5","10","3","0",2.97,"0","1","2099","0"
"1","2","22","27","5","0",2.41,"3","1","2100","0"
"0","2","3","3","2","3",3.57,"4","2","2101","1"
"0","2","29","12","4","0",2.12,"5","2","2102","0"
"1","2","19","19","1","2",3.7,"1","1","2103","1"
"1","1","2","20","4","0",2.86,"2","2","2104","0"
"0","2","23","22","5","0",2.87,"2","2","2105","0"
"0","3","23","10","4","0",2.73,"2","2","2106","0"
"1","2","34","34","3","3",3.85,"3","2","2107","1"
"1","1","3","3","1","2",4.0,"1","1","2108","1"
"0","2","33","34","3","0",1.14,"3","1","2109","0"
"0","2","32","32","3","1",3.77,"2","2","2110","1"
"0","3","12","15","3","0",2.25,"1","1","2111","0"
"0","3","11","23","4","0",2.45,"1","1","2112","0"
"0","1","15","2","5","0",1.55,"1","1","2113","0"
"1","3","34","12","4","0",2.1,"4","2","2114","0"
"0","3","12","28","4","0",2.05,"2","1","2115","0"
"0","3","10","14","3","0",1.09,"0","2","2116","0"
"1","2","30","21","3","0",2.03,"3","2","2117","0"
"0","2","33","33","2","2",3.7,"0","1","2118","1"
"1","1","4","25","5","0",1.35,"1","1","2119","0"
"0","3","3","13","3","0",1.42,"1","1","2120","0"
"1","1","18","18","2","2",3.29,"3","2","2121","1"
"0","1","14","14","3","2",3.95,"3","2","2122","1"
"0","2","31","31","2","1",3.53,"2","2","2123","1"
"1","1","33","13","5","0",2.72,"5","1","2124","0"
"1","1","19","7","4","0",1.54,"3","1","2125","0"
"1","1","26","26","2","2",3.4,"2","1","2126","1"
"0","2","2","29","3","0",2.08,"5","2","2127","0"
"0","1","15","15","2","3",3.57,"3","2","2128","1"
"0","3","4","14","4","0",2.91,"5","1","2129","0"
"1","1","8","5","5","0",2.96,"4","2","2130","0"
"0","3","30","34","4","0",1.15,"5","2","2131","0"
"0","2","12","13","5","0",1.31,"2","2","2132","0"
"0","1","26","26","2","2",3.1,"2","1","2133","1"
"0","1","34","34","2","2",3.51,"3","2","2134","1"
"0","1","16","16","2","1",3.33,"2","2","2135","1"
"1","1","1","24","4","0",1.86,"5","2","2136","0"
"0","1","33","6","5","0",1.16,"4","1","2137","0"
"1","3","34","1","4","0",2.61,"3","1","2138","0"
"0","1","8","8","1","2",3.6,"1","1","2139","1"
"0","1","33","31","4","0",1.51,"3","1","2140","0"
"0","2","27","32","3","0",1.7,"0","1","2141","0"
"0","1","1","33","3","0",1.02,"1","2","2142","0"
"0","2","24","4","5","0",2.12,"3","1","2143","0"
"1","1","8","8","3","3",3.95,"2","2","2144","1"
"1","1","8","8","3","1",3.96,"4","2","2145","1"
"0","2","14","14","1","2",3.8,"0","1","2146","1"
"1","2","30","30","1","2",3.9,"2","1","2147","1"
"1","1","10","26","4","0",1.68,"3","2","2148","0"
"0","2","12","13","5","0",1.1,"4","1","2149","0"
"1","1","15","4","3","0",2.3,"4","2","2150","0"
"1","2","28","28","1","2",3.6,"1","1","2151","1"
"0","2","1","1","3","1",3.39,"2","2","2152","1"
"1","1","10","8","4","0",1.1,"4","1","2153","0"
"0","2","26","26","2","3",3.53,"2","2","2154","1"
"0","2","29","29","1","2",3.8,"0","1","2155","1"
"1","1","20","2","4","0",2.38,"0","1","2156","0"
"0","2","16","29","4","0",2.28,"0","2","2157","0"
"1","3","11","8","5","0",2.11,"4","1","2158","0"
"1","1","1","1","1","2",4.0,"0","1","2159","1"
"0","2","27","27","2","3",3.35,"3","2","2160","1"
"0","1","6","6","3","3",3.81,"2","2","2161","1"
"0","2","28","28","1","2",3.4,"1","1","2162","1"
"1","2","24","24","1","1",3.2,"2","1","2163","1"
"1","2","1","1","2","2",3.82,"4","2","2164","1"
"1","1","16","16","3","3",3.92,"4","2","2165","1"
"1","1","16","16","3","2",3.77,"2","2","2166","1"
"0","1","3","3","2","2",3.1,"1","1","2167","1"
"1","3","29","14","4","0",1.97,"2","2","2168","0"
"1","1","9","5","4","0",2.93,"2","2","2169","0"
"0","1","1","1","3","3",3.67,"4","2","2170","1"
"0","2","7","28","3","0",1.96,"2","1","2171","0"
"0","1","22","2","4","0",2.17,"2","2","2172","0"
"0","2","14","24","5","0",2.72,"5","1","2173","0"
"1","2","18","5","5","0",1.21,"2","1","2174","0"
"1","2","5","9","3","0",1.06,"0","2","2175","0"
"0","2","2","2","2","1",3.1,"2","1","2176","1"
"0","1","26","3","5","0",1.46,"2","2","2177","0"
"1","3","18","4","3","0",1.87,"3","1","2178","0"
"1","1","25","25","1","2",3.9,"2","1","2179","1"
"0","3","12","8","5","0",2.05,"1","1","2180","0"
"1","1","29","29","2","2",3.4,"2","2","2181","1"
"1","1","8","8","1","2",3.7,"2","1","2182","1"
"0","1","24","33","5","0",2.48,"1","2","2183","0"
"0","1","29","4","3","0",2.3,"3","1","2184","0"
"1","3","14","20","4","0",2.53,"2","2","2185","0"
"0","2","1","26","3","0",1.85,"0","2","2186","0"
"1","2","27","15","3","0",2.58,"4","2","2187","0"
"1","2","10","10","2","1",3.9,"1","1","2188","1"
"0","2","29","12","4","0",2.83,"3","1","2189","0"
"0","2","14","14","2","3",3.82,"3","2","2190","1"
"0","2","26","16","3","0",2.7,"4","2","2191","0"
"0","3","30","8","4","0",2.04,"4","1","2192","0"
"1","1","17","17","1","2",4.0,"2","1","2193","1"
"1","3","19","12","5","0",2.47,"4","1","2194","0"
"1","1","19","31","3","0",2.6,"0","2","2195","0"
"0","1","4","4","1","2",3.4,"0","1","2196","1"
"0","2","10","23","4","0",2.07,"2","1","2197","0"
"0","1","7","7","2","3",3.61,"4","2","2198","1"
"0","3","18","11","5","0",1.13,"4","2","2199","0"
"0","3","30","9","3","0",1.78,"5","1","2200","0"
"0","2","19","19","1","2",3.6,"0","1","2201","1"
"0","2","7","18","4","0",1.4,"4","1","2202","0"
"0","1","9","9","2","3",3.8,"3","2","2203","1"
"1","1","13","13","3","3",3.31,"2","2","2204","1"
"0","1","7","31","5","0",2.25,"3","2","2205","0"
"1","1","6","17","5","0",2.06,"2","1","2206","0"
"1","1","12","12","2","3",3.45,"3","2","2207","1"
"0","1","21","4","5","0",1.63,"1","1","2208","0"
"1","1","14","23","5","0",2.98,"0","1","2209","0"
"1","2","29","29","3","3",3.77,"2","2","2210","1"
"0","2","27","32","5","0",2.91,"0","2","2211","0"
"1","2","12","12","2","1",3.81,"3","2","2212","1"
"1","3","8","14","5","0",1.08,"4","2","2213","0"
"1","1","30","9","3","0",2.68,"3","1","2214","0"
"1","2","16","11","5","0",1.86,"1","2","2215","0"
"1","2","20","20","2","1",3.3,"2","1","2216","1"
"1","3","19","31","5","0",1.58,"4","1","2217","0"
"0","1","9","1","3","0",1.59,"5","1","2218","0"
"1","2","7","25","5","0",2.6,"5","2","2219","0"
"0","2","30","30","2","3",3.63,"2","2","2220","1"
"0","3","15","7","4","0",1.21,"2","2","2221","0"
"1","2","25","13","3","0",2.76,"1","1","2222","0"
"1","3","29","9","5","0",2.14,"2","1","2223","0"
"0","1","7","28","3","0",1.06,"3","2","2224","0"
"0","3","1","13","4","0",2.72,"0","1","2225","0"
"1","3","30","9","5","0",1.44,"4","1","2226","0"
"1","1","19","19","3","1",3.26,"4","2","2227","1"
"1","2","11","11","2","2",3.7,"2","1","2228","1"
"1","2","14","30","5","0",1.01,"1","1","2229","0"
"0","2","31","31","2","3",3.33,"2","2","2230","1"
"1","2","28","28","2","2",3.1,"0","1","2231","1"
"1","1","10","10","2","2",3.3,"1","1","2232","1"
"0","1","19","32","5","0",1.22,"1","2","2233","0"
"1","2","18","18","2","2",3.74,"4","2","2234","1"
"0","1","23","23","2","1",3.1,"2","1","2235","1"
"1","1","15","34","5","0",1.27,"2","1","2236","0"
"1","3","7","17","5","0",1.23,"5","2","2237","0"
"1","1","22","22","1","2",3.1,"2","1","2238","1"
"0","2","6","5","3","0",2.07,"4","2","2239","0"
"0","1","31","31","2","1",3.78,"2","2","2240","1"
"1","3","29","26","5","0",2.25,"3","2","2241","0"
"1","2","16","16","2","3",3.88,"4","2","2242","1"
"0","2","26","26","2","2",3.7,"2","1","2243","1"
"1","2","13","13","3","2",3.5,"2","2","2244","1"
"0","1","11","11","2","1",3.3,"0","1","2245","1"
"1","3","4","19","3","0",1.69,"3","1","2246","0"
"1","2","3","3","2","2",3.56,"2","2","2247","1"
"0","3","9","16","3","0",2.58,"0","1","2248","0"
"1","1","3","11","5","0",2.9,"4","1","2249","0"
"0","1","8","8","3","1",3.71,"2","2","2250","1"
"0","2","25","1","3","0",1.85,"2","1","2251","0"
"1","1","24","24","3","0",1.99,"3","2","2252","0"
"1","1","34","11","5","0",2.25,"5","2","2253","0"
"1","2","31","8","5","0",1.12,"4","1","2254","0"
"1","1","6","6","2","1",4.0,"1","1","2255","1"
"1","1","3","3","2","1",3.5,"0","1","2256","1"
"1","1","9","9","2","1",3.53,"3","2","2257","1"
"0","2","32","20","4","0",1.85,"4","2","2258","0"
"1","2","7","7","2","1",3.97,"2","2","2259","1"
"0","2","34","34","2","1",3.75,"3","2","2260","1"
"1","1","11","11","2","1",3.9,"2","1","2261","1"
"0","3","10","16","4","0",2.45,"4","1","2262","0"
"0","2","9","21","3","0",2.07,"0","1","2263","0"
"0","3","15","9","3","0",1.5,"4","2","2264","0"
"1","2","11","27","5","0",1.48,"5","1","2265","0"
"1","2","6","32","3","0",1.62,"0","1","2266","0"
"1","2","22","22","2","1",3.8,"2","1","2267","1"
"1","3","26","16","5","0",1.5,"1","1","2268","0"
"1","2","7","7","2","1",3.89,"2","2","2269","1"
"0","2","5","5","2","2",3.41,"2","2","2270","1"
"0","1","5","26","4","0",1.12,"0","2","2271","0"
"0","1","16","16","1","2",3.4,"2","1","2272","1"
"0","1","18","18","3","1",3.4,"2","2","2273","1"
"0","1","12","12","2","2",3.52,"2","2","2274","1"
"0","1","8","8","2","2",3.53,"4","2","2275","1"
"0","1","17","17","2","1",3.5,"0","1","2276","1"
"0","1","26","33","3","0",2.8,"1","1","2277","0"
"0","1","22","22","2","1",3.1,"0","1","2278","1"
"1","2","17","17","2","3",3.63,"4","2","2279","1"
"1","3","16","14","4","0",2.7,"3","1","2280","0"
"0","1","30","16","5","0",1.2,"0","2","2281","0"
"1","3","30","6","3","0",1.22,"3","1","2282","0"
"1","1","21","21","1","2",3.5,"0","1","2283","1"
"0","2","14","14","2","3",3.27,"4","2","2284","1"
"0","1","25","25","2","2",3.4,"0","1","2285","1"
"1","2","4","4","2","2",3.61,"2","2","2286","1"
"1","1","22","8","3","0",2.08,"2","1","2287","0"
"0","3","28","28","5","0",2.75,"2","2","2288","0"
"1","1","33","11","3","0",2.94,"0","2","2289","0"
"0","3","6","6","3","0",2.77,"4","1","2290","0"
"0","2","8","8","2","3",3.33,"3","2","2291","1"
"0","2","21","21","3","2",3.65,"2","2","2292","1"
"1","1","3","23","3","0",2.99,"5","2","2293","0"
"1","2","19","19","3","3",3.65,"2","2","2294","1"
"1","2","32","32","2","2",3.67,"2","2","2295","1"
"0","2","18","18","2","3",3.8,"4","2","2296","1"
"0","1","18","18","3","3",3.38,"4","2","2297","1"
"0","2","19","11","3","0",2.29,"1","2","2298","0"
"1","2","9","9","1","1",3.9,"0","1","2299","1"
"0","2","33","2","3","0",2.83,"5","2","2300","0"
"1","1","24","24","3","1",3.57,"2","2","2301","1"
"0","1","13","21","3","0",2.9,"4","2","2302","0"
"0","1","9","21","3","0",2.71,"0","1","2303","0"
"0","2","22","17","5","0",2.49,"3","1","2304","0"
"0","1","14","33","4","0",1.44,"4","2","2305","0"
"1","3","1","14","5","0",1.85,"4","2","2306","0"
"1","2","15","15","2","2",3.52,"2","2","2307","1"
"0","1","6","26","3","0",2.63,"4","1","2308","0"
"0","1","7","12","4","0",2.66,"1","1","2309","0"
"0","1","22","31","3","0",2.5,"5","1","2310","0"
"1","2","6","6","1","1",3.5,"1","1","2311","1"
"1","2","11","11","1","1",3.6,"1","1","2312","1"
"1","1","15","15","2","1",3.9,"0","1","2313","1"
"1","1","24","2","3","0",1.8,"1","2","2314","0"
"0","2","25","3","5","0",2.79,"2","1","2315","0"
"0","2","17","17","4","0",2.42,"4","2","2316","0"
"1","1","15","9","3","0",1.2,"4","1","2317","0"
"0","2","20","20","2","3",3.69,"4","2","2318","1"
"1","2","5","5","2","1",3.3,"2","1","2319","1"
"0","2","8","8","3","1",3.6,"2","2","2320","1"
"1","2","25","25","1","1",3.2,"1","1","2321","1"
"0","3","8","24","5","0",2.28,"5","2","2322","0"
"0","2","11","11","2","1",3.6,"1","1","2323","1"
"0","2","18","31","5","0",2.19,"0","1","2324","0"
"1","2","19","26","3","0",2.53,"5","1","2325","0"
"0","1","18","13","4","0",1.75,"0","1","2326","0"
"1","3","9","20","5","0",2.81,"3","2","2327","0"
"0","2","29","29","2","1",3.2,"2","1","2328","1"
"1","3","31","19","5","0",1.27,"1","1","2329","0"
"0","2","13","32","3","0",2.55,"1","2","2330","0"
"0","1","7","7","2","2",3.55,"2","2","2331","1"
"0","3","27","22","4","0",1.76,"1","2","2332","0"
"0","2","6","6","2","2",3.38,"3","2","2333","1"
"1","1","34","5","5","0",1.12,"2","1","2334","0"
"1","3","26","27","5","0",1.28,"1","1","2335","0"
"0","2","28","28","1","1",3.4,"1","1","2336","1"
"1","1","4","20","5","0",2.03,"4","2","2337","0"
"1","2","21","21","3","1",3.73,"2","2","2338","1"
"0","2","32","33","5","0",2.68,"3","2","2339","0"
"0","1","11","11","1","1",3.1,"1","1","2340","1"
"1","1","30","16","4","0",2.86,"4","2","2341","0"
"0","3","14","3","4","0",1.36,"2","1","2342","0"
"0","1","28","1","5","0",1.7,"0","1","2343","0"
"0","1","21","12","4","0",1.15,"5","2","2344","0"
"0","2","3","3","1","1",3.4,"2","1","2345","1"
"0","2","31","15","3","0",1.39,"5","2","2346","0"
"1","1","31","31","3","3",3.91,"3","2","2347","1"
"1","3","2","21","4","0",1.17,"2","1","2348","0"
"1","2","18","18","2","2",3.26,"3","2","2349","1"
"0","1","9","23","4","0",2.39,"4","1","2350","0"
"0","1","13","18","3","0",1.35,"1","2","2351","0"
"0","2","18","2","5","0",1.98,"4","2","2352","0"
"0","1","1","31","5","0",2.09,"1","1","2353","0"
"1","2","33","33","2","2",3.7,"0","1","2354","1"
"0","1","33","15","4","0",2.95,"2","1","2355","0"
"1","3","27","13","4","0",2.75,"4","1","2356","0"
"0","3","32","9","5","0",1.95,"1","2","2357","0"
"1","1","17","17","3","3",3.61,"3","2","2358","1"
"1","1","22","22","3","2",3.93,"3","2","2359","1"
"1","3","1","20","5","0",1.81,"2","1","2360","0"
"0","3","34","17","4","0",2.76,"2","2","2361","0"
"0","2","25","25","2","2",3.6,"2","2","2362","1"
"0","1","19","19","2","3",3.59,"3","2","2363","1"
"0","1","7","15","4","0",2.15,"2","1","2364","0"
"0","2","24","29","3","0",1.91,"0","1","2365","0"
"0","1","27","14","4","0",1.89,"4","2","2366","0"
"1","3","8","34","5","0",1.52,"0","1","2367","0"
"1","1","8","6","5","0",1.89,"1","2","2368","0"
"1","2","7","2","5","0",2.16,"3","1","2369","0"
"1","1","3","3","2","2",3.7,"4","2","2370","1"
"0","2","20","20","1","1",3.8,"1","1","2371","1"
"1","1","17","17","3","2",3.88,"4","2","2372","1"
"1","2","33","33","1","1",3.4,"1","1","2373","1"
"1","1","25","25","1","2",3.9,"2","1","2374","1"
"0","1","6","6","3","3",3.44,"4","2","2375","1"
"1","2","17","17","2","1",4.0,"1","1","2376","1"
"0","2","2","15","3","0",1.15,"2","2","2377","0"
"0","1","33","10","4","0",1.53,"5","1","2378","0"
"1","2","16","16","2","2",4.0,"0","1","2379","1"
"0","2","14","14","2","2",3.4,"0","1","2380","1"
"0","1","8","30","4","0",2.34,"5","1","2381","0"
"0","3","8","20","5","0",1.89,"5","1","2382","0"
"1","2","4","4","3","3",3.92,"3","2","2383","1"
"0","2","16","28","3","0",1.1,"1","1","2384","0"
"1","3","11","34","4","0",2.66,"0","1","2385","0"
"0","2","14","14","3","2",3.3,"3","2","2386","1"
"1","1","11","20","3","0",2.76,"2","2","2387","0"
"1","3","27","14","5","0",1.04,"3","1","2388","0"
"0","2","22","22","1","2",3.6,"1","1","2389","1"
"1","2","24","22","5","0",1.7,"0","1","2390","0"
"0","3","29","21","3","0",1.07,"5","2","2391","0"
"0","2","10","10","3","3",3.66,"2","2","2392","1"
"0","2","22","3","4","0",2.36,"1","2","2393","0"
